,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
81,Akron,Akron,OH,Ohio,39153,Summit,41.0798,-81.5219,570375,1230.0,shape,False,True,America/New_York,2,44306 44307 44304 44305 44302 44303 44301 44308 44325 44320 44311 44310 44313 44312 44319 44314,1840000791
82,New Haven,New Haven,CT,Connecticut,9009,New Haven,41.3113,-72.9246,566683,2693.0,shape,False,True,America/New_York,2,06519 06511 06510 06513 06512 06515,1840004850
83,Provo,Provo,UT,Utah,49049,Utah,40.2457,-111.6457,563884,1082.0,shape,False,True,America/Denver,2,84606 84604 84602 84601,1840020174
84,Bakersfield,Bakersfield,CA,California,6029,Kern,35.3529,-119.0359,556892,979.0,shape,False,True,America/Los_Angeles,2,93306 93307 93304 93305 93301 93309 93314 93311 93313 93312,1840019148
85,Murrieta,Murrieta,CA,California,6065,Riverside,33.5719,-117.1909,524133,1310.0,shape,False,True,America/Los_Angeles,2,92563 92562,1840020553
86,Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,519180,943.0,shape,False,True,America/Chicago,2,50309 50312 50314 50315 50316 50317 50310 50313 50319 50321 50320 50311,1840007069
87,Worcester,Worcester,MA,Massachusetts,25027,Worcester,42.2705,-71.8079,516483,1913.0,shape,False,True,America/New_York,2,01608 01610 01609 01602 01603 01604 01605 01606 01607,1840000434
88,Mesa,Mesa,AZ,Arizona,4013,Maricopa,33.4015,-111.7178,508918,1416.0,shape,False,True,America/Phoenix,2,85208 85209 85201 85202 85203 85204 85205 85206 85207 85215 85213 85212 85210,1840020566
89,Toledo,Toledo,OH,Ohio,39095,Lucas,41.6638,-83.5827,498645,1319.0,shape,False,True,America/New_York,2,43615 43614 43611 43613 43612 43607 43610 43606 43604 43605 43608 43609 43620 43623,1840000572
90,Palm Bay,Palm Bay,FL,Florida,12009,Brevard,27.9631,-80.6593,496640,508.0,shape,False,True,America/New_York,2,32909 32908 32905 32907 32976,1840015094
91,Staten Island,Staten Island,NY,New York,36085,Richmond,40.5834,-74.1496,495747,3286.0,point,False,True,America/New_York,2,10302 10303 10310 10306 10307 10308 10309 10312 10301 10304 10305 10314,1840034032
92,Wichita,Wichita,KS,Kansas,20173,Sedgwick,37.6895,-97.3443,484715,930.0,shape,False,True,America/Chicago,2,67230 67235 67260 67217 67216 67215 67214 67213 67212 67211 67210 67219 67218 67223 67220 67226 67202 67203 67204 67205 67206 67207 67208 67209,1840001686
93,Harrisburg,Harrisburg,PA,Pennsylvania,42043,Dauphin,40.2752,-76.8843,472261,2342.0,shape,False,True,America/New_York,2,17101 17102 17103 17104 17120 17110,1840001288
94,Long Beach,Long Beach,CA,California,6037,Los Angeles,33.7977,-118.167,462081,3518.0,shape,False,True,America/Los_Angeles,2,90822 90804 90805 90806 90807 90802 90803 90808 90831 90814 90813 90810 90815 90840,1840020490
95,Little Rock,Little Rock,AR,Arkansas,5119,Pulaski,34.7256,-92.3577,446814,637.0,shape,False,True,America/Chicago,2,72211 72210 72212 72223 72227 72209 72202 72201 72206 72207 72204 72205 72103,1840015509
96,Madison,Madison,WI,Wisconsin,55025,Dane,43.0822,-89.393,445499,1253.0,shape,False,True,America/Chicago,2,53706 53704 53705 53703 53726 53792 53719 53718 53715 53714 53717 53716 53711 53713,1840002915
97,Greenville,Greenville,SC,South Carolina,45045,Greenville,34.8354,-82.3646,441303,905.0,shape,False,True,America/New_York,2,29614 29607 29605 29601 29609,1840013501
98,Reno,Reno,NV,Nevada,32031,Washoe,39.5497,-119.8483,440547,890.0,shape,False,True,America/Los_Angeles,2,89521 89523 89439 89503 89502 89501 89506 89509 89508 89557 89519 89512,1840020121
99,Port St. Lucie,Port St. Lucie,FL,Florida,12111,St. Lucie,27.2796,-80.3884,435182,634.0,shape,False,True,America/New_York,2,34986 34984 34983 34987 34952 34953,1840015119
